name,"nutritional value min,kcal","nutritional value max,kcal",unit,average cal
apple pie,350,411,1 piece,381
baby back ribs,60,95,1 rib,78
baklava,170,330,1 piece,250
beef carpaccio,119,130,100 gr,125
beef tartare,210,220,100 gr,215
beet salad,170,280,1 serving,225
beignets,550,700,1 serving,625
bibimbap,133,145,100 gr,139
bread pudding,150,300,100 gr,225
breakfast burrito,300,600,1 piece,450
bruschetta,215,460,1 serving,338
caesar salad,180,220,1 serving,200
cannoli,190,220,1 piece,205
caprese salad,120,190,1 serving,155
carrot cake,240,320,1 piece,280
ceviche,80,120,1 serving,100
cheese plate,330,350,100 gr,340
cheesecake,320,350,100 gr,335
chicken curry,124,130,100 gr,127
chicken quesadilla,260,530,1 piece,395
chicken wings,72,80,1 wing,76
chocolate cake,240,340,1 piece,290
chocolate mousse,260,350,1 cup,305
churros,116,220,1 piece,168
clam chowder,200,270,1 cup,235
club sandwich,500,700,1 sandwich,600
crab cakes,168,200,100 gr,184
creme brulee,290,400,1 serving,345
croque madame,400,570,1 sandwich,485
cup cakes,150,220,1 piece,185
deviled eggs,62,70,1 piece,66
donuts,190,270,1 piece,230
dumplings,40,60,1 piece,50
edamame,65,130,100 gr,98
eggs benedict,500,800,1 serving,650
escargots,120,350,100 gr,235
falafel,150,300,100 gr,225
filet mignon,150,170,100 gr,160
fish and chips,144,200,100 gr,172
foie gras,445,460,100 gr,453
french fries,270,300,100 gr,285
french onion soup,210,370,1 cup,290
french toast,110,150,1 slice,130
fried calamari,125,170,100 gr,148
fried rice,150,170,100 gr,160
frozen yogurt,214,235,1 cup,225
garlic bread,110,110,1 slice,110
gnocchi,150,210,100 gr,180
greek salad,100,140,100 gr,120
grilled cheese sandwich,350,420,1 sandwich,385
grilled salmon,200,290,1 serving,245
guacamole,160,200,100 gr,180
gyoza,28,33,1 piece,31
hamburger,300,460,1 sandwich,380
hot and sour soup,120,220,1 cup,170
hot dog,150,260,1 piece,205
huevos rancheros,600,770,1 serving,685
hummus,27,35,1 tbsp,31
ice cream,133,150,1 scoop,142
lasagna,260,350,1 piece,305
lobster bisque,250,380,1 cup,315
lobster roll sandwich,220,550,1 sandwich,385
macaroni and cheese,250,490,1 cup,370
macarons,40,55,1 cookie,48
miso soup,60,84,1 cup,72
mussels,10,14,1 piece,12
nachos,25,42,1 piece,34
omelette,450,550,1 serving,500
onion rings,34,46,1 ring,40
oysters,32,51,1 piece,42
pad thai,350,600,1 cup,475
paella,290,380,1 cup,335
pancakes,225,235,100 gr,230
panna cotta,400,500,1 cup,450
peking duck,1000,1100,half duck,1050
pho,280,300,1 cup,290
pizza,210,265,1 piece,238
pork chop,220,300,1 chop,260
poutine,700,950,1 serving,825
prime rib,266,300,100 gr,283
pulled pork sandwich,320,570,1 sandwich,445
ramen,450,500,1 serving,475
ravioli,27,54,1 piece,41
red velvet cake,210,290,1 slice,250
risotto,115,170,100 gr,143
samosa,190,308,1 piece,249
sashimi,108,146,100 gr,127
scallops,130,217,100 gr,174
seaweed salad,110,130,1 cup,120
shrimp and grits,330,450,1 cup,390
spaghetti bolognese,364,570,1 serving,467
spaghetti carbonara,384,530,1 serving,457
spring rolls,55,110,1 roll,83
steak,212,250,100 gr,231
strawberry shortcake,180,240,100 gr,210
sushi,33,48,1 piece,41
tacos,130,220,1 piece,175
takoyaki,40,70,1 ball,55
tiramisu,210,300,1 serving,255
tuna tartare,200,420,1 serving,310
waffles,90,218,1 piece,154
